run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/PPO_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-011403,PPO,202511,13,0.8,0.05,10.0,0.0001,0.99,1389.4807045988998,230.2861871538226,5.09921104181708,0.9344860208734209,-7888.038092886607,-65547.83201915
runs/PPO_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250920-214110,PPO,20257,13,0.8,0.05,10.0,0.0001,0.99,877.6442330810678,294.76476635147594,4.727883976120421,1.1005594309562032,-5421.5371300627785,-57258.809292750004
runs/PPO_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250918-200355,PPO,202511,7,0.5,0.05,10.0,0.0001,0.99,12.731939761854882,2.50733367407693,2.807922646876432,0.941580273393496,-490.77494542913354,-48.7120455
runs/PPO_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250918-165540,PPO,20257,7,0.5,0.05,10.0,0.0001,0.99,9.21176906021871,0.9998897912450017,2.377894472730307,0.820859388359591,-342.03152951142516,-23.76204425
runs/PPO_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250918-210444,PPO,202511,7,0.6,0.05,10.0,0.0001,0.99,17.09482157905263,1.7471291170239793,2.807922646876432,0.941580273393496,-274.76452145168014,-20.95712185
runs/PPO_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250918-175740,PPO,20257,7,0.6,0.05,10.0,0.0001,0.99,12.961191247865106,1.7399278467749544,2.377894472730307,0.820859388359591,-454.760705578827,-254.8491608
runs/PPO_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250918-220704,PPO,202511,7,0.8,0.05,10.0,0.0001,0.99,675.336459948682,469.19811488020133,2.807922646876432,0.941580273393496,-8054.848341598312,-34357.8158138
runs/PPO_n7_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250918-190337,PPO,20257,7,0.8,0.05,10.0,0.0001,0.99,64.95277322116904,22.805753499711663,2.377894472730307,0.820859388359591,-1004.7007749628524,-750.5883919
runs/PPO_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-214917,PPO,202511,9,0.5,0.05,10.0,0.0001,0.99,22.276343451326067,3.405619096164974,3.5227728615454237,0.9341407003538587,-1097.2465875099476,-380.57747675
runs/PPO_n9_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-181543,PPO,20257,9,0.5,0.05,10.0,0.0001,0.99,33.40481627226364,7.229407934930411,3.235281360857152,0.9977523387428947,-2163.017725765705,-5530.514080049999
runs/PPO_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-230323,PPO,202511,9,0.6,0.05,10.0,0.0001,0.99,83.49907167857633,23.150143124066382,3.5227728615454237,0.9341407003538587,-17642.687377474507,-64435.46888905001
runs/PPO_n9_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-192646,PPO,20257,9,0.6,0.05,10.0,0.0001,0.99,16.95786265646249,4.197395338379228,3.235281360857152,0.9977523387428947,-632.5568942036417,-170.1029863
runs/PPO_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250920-001753,PPO,202511,9,0.8,0.05,10.0,0.0001,0.99,1404.8990408985305,449.2557045647681,3.5227728615454237,0.9341407003538587,-4401.918222266038,-29781.3915626
runs/PPO_n9_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-203802,PPO,20257,9,0.8,0.05,10.0,0.0001,0.99,777.4375446171924,146.66930692875096,3.235281360857152,0.9977523387428947,-4955.464148201347,-25129.7292946
runs/SAC_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-102726,SAC,202511,13,0.5,0.05,10.0,0.0001,0.99,168.59370029208876,32.054065460181874,5.09921104181708,0.9344860208734209,-1815.5501607640583,-2259.098613
runs/SAC_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-090136,SAC,20257,13,0.5,0.05,10.0,0.0001,0.99,136.03060924666318,22.95517706943337,4.727883976120421,1.1005594309562032,-1107.5603136173884,-2247.5716613
runs/SAC_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-105610,SAC,202511,13,0.6,0.05,10.0,0.0001,0.99,574.0239899591267,254.16274916432207,5.09921104181708,0.9344860208734209,-1348.7863309401273,-4305.430841200001
runs/SAC_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-093012,SAC,20257,13,0.6,0.05,10.0,0.0001,0.99,293.2867648645014,33.106802013701824,4.727883976120421,1.1005594309562032,-1570.6807958223421,-2135.16243055
